σύντομα, σαλόνι, τυριού, πω, ανάμεσα, κι, μέγιστος, φιλάω, χρήσιμος, πρέπον, σκάλα, λέγοντας, κινητό, λέγομαι, μπροστινός, ωκεανία, γνώρισα, συνέβη, γρήγορα, συγγραφέας, πηγαίνοντας, υπογράφω, λανθασμένος, ή, γενικής, γαλάζια, υπερβολικά, ον, έφυγα, πανηγύρι, παίζω, αδύναμος, ξεχάσω, νότος, καπέλο, τελείως, βόρεια, σκο, χιλιόμετρο, νοέμβριος, νονά, άλλη, ερωτευμένος, ενός, ωρίων, δίνω, δωμάτιο, πια, αλυσίδα, ερπετό
bell, soldier, raised, jewel, French, thousand, just, fifth, location, include, of which, route, books, Crete, smart, trousers, Turkey, bar, culture, hair, false, she, Nevertheless, four hundred, very, why, I see, crab, Italian, traffic light, leave, hide, chocolate, other, moments, year, deep, let down, TV, Z, dismiss, weekend, I went, guide, frequent, some, I went in, ladies man, stop, Russian

σιγά, αρχή, συρτάρι, κάλτσα, μερικοί, μίλι, βολικός, Μαρία, καθένας, πιστολάκι, μπίρα, ακούω, τυχαίος, αγοράσω, μπόρεσα, βλέποντας, τύψεις, έφτιαξα, ζωολογικός, ώρα, διάδρομος, κρύος, δεκατέσσερα, αμερική, πάτωμα, συνέχισα, έχουν, δικαστής, βρέχει, χρησιμοποίησα, δεν, ασχημότατος, μόνη, κους, σηκώνω, δύσκολος, σκοτεινός, μηχανή, ιδιαίτερα, την, αργός, ποιανού, γάντια, λάτρεψα, μίνι, ψηλά, ξανά, κόρη, ελαφρύτερος, ήμουν

slowly, principle, drawer, sock, some, mile, convenient, Mary, everyone, hair dryer, beer, I hear, random, buy, I was able to, seeing, guilt, I made, zoological, time, corridor, cold, fourteen, America, floor, I continued, they have, judge, its raining, I used, not, ugly, lonely, cous, lift up, difficult, dark, machine, especially, her, slow, whose, gloves, I loved, mini, high up, again, daughter, lighter, I was

ελένη, μπαλκόνι, μάρμαρο, σν, ασχημότερος, οπότε, μάρκετ, αγγλικός, εξήντα, ισπανικός, έρωτας, δυτικά, φράουλα, χαίρομαι, διαμέρισμα, Καναδά, μακρύς, παραλία, κρέας, παλιός, βεβαίως, διπλός, καλώς, ξανθοί, τυρί, απαγορεύω, κοντότερος, αργά, στεγνώνω, νοτιοανατολικά, ζώα, ευχάριστα, τέλεια, προστακτική, πού, λέμε, κάμερα, φορά, γωνία, νεολαία, αμερικάνικος, υποστήριξα, εύχομαι, τούρκος, αριθμός, γράψω, κιλό, τόνο, κανείς, παιδιού

Helen, balcony, marble, SN, most ugly, so, market, English, sixty, Spanish, love, west, strawberry, I am glad, apartment, Canada, long, beach, meat, old, of course, double, well, blonde, cheese, forbid, shorter, late, dry up, southeast, animal, pleasantly, perfect, protective, where, we say, camera, time, corner, youth, American, I have supported, I wish, Turk, number, write, kg, tone, you do, child

τέσσερα, αφρική, φάω, πισίνα, μτχ, μαγειρεύεται, πιρούνι, κωμόπολη, αυτοκίνητο, οκτακόσιοι, αυγό, φοβισμένος, περπάτησα, μελαχρινός, πουλί, διαβάζετε, μεταφοράς, ξέχασα, κάτι, εκατοστό, μαγειρεύω, αηδιάζω, επιβάτης, σιν, είχα, νιώθοντας, νερό, αυγά, γάλλος, τουαλέτα, πιο, αγάπησα, σας, από, εγγονός, καλάθι, γα, οπωσδήποτε, σεπτέμβριος, ζυμαρικά, πλούσιος, φοριέται, όντας, εξαφανίζομαι, κράτησα, πουλιά, αυστραλία, κουρτίνα, χόρεψα, υπόγειο

four, Africa, eat, pool, MTX, cooked, fork, town, car, eight hundred, egg, afraid, i walked, brunette, bird, you read, transportation, forgot, something, centimeter, I cook, loathe, passenger, Sin, I used to have, feeling, water, eggs, French, toilet, more, I loved, your, from, grandson, basket, GA, anyway, September, pasta, rich, is worn, being, disappear, I kept, bird, Australia, curtain, I danced, basement

σύζυγος, μωρό, χάμστερ, παππούς, αυτός, καθρέφτης, έκλεισα, ισπανός, απόψε, εσείς, παίρνω, μία, τρίτη, αξιωματικός, πρώτα, πέτρος, δεκαέξι, έφαγα, απογοήτευση, διαφορετικός, εκκλησία, πάρκο, σωστός, βρώμικος, πράσινη, υπολογιστής, υπέροχος, φωτιστικό, φυλακή, καμήλα, πολιτιστικός, κουβέρτα, εχθρός, πορτοκαλί, εργάζομαι, διατήρησα, όπως, βοηθάω, άνθρωπος, τόσος, πρωινού, μπισκότα, δεύτερος, η, νότιος, έσωσα, μου, σπίτι, ειδικά, αεροπλάνο

husband, baby, hamster, grandfather, he, mirror, closed, Spaniard, tonight, you, I get, a, Tuesday, army officer, first, Peter, sixteen, I ate, disappointment, different, church, park, right, bromic, green, computer, wonderful, luminaire, prison, camel, cultural, blanket, enemy, Orange, I work, I kept, such as, help, person, so, breakfast, cookies, second, the, southern, I saved, my, home, especially, airplane

παραδίδω, ευχαρίστησα, άπειρο, γενιά, κάθε, ποτήρι, υπεύθυνος, χωρίς, όχι, εξοργίζω, μπότα, ιούνιος, τρέξω, ξεχνάω, Δαβίδ, δημοφιλέστερος, κάτω, βρίσκω, προορισμός, πέρυσι, όλοι, πώς, που, αβοκάντο, ψα, ιταλία, άντρα, σκύλοι, κρεβάτι, καθώς, ας, κατεύθυνση, πριν, του, κύριος, ευκολότερος, κοντά, ψω, πίτα, σαπούνι, ακριβής, μάγειρας, λω, καναπές, διάσταση, αρνητικός, πλοίο, πλατύς, αγγούρι, ζηλεύω

deliver, I thanked, infinity, generation, each, glass, responsible, without, no, enrage, boot, June, run, I forget, David, most popular, below, find, destination, last year, all, how, where, avocado, savvy, Italy, man, dogs, bed, as, let, direction, before, of, Mr, easier, close, jerk, pie, soap, exact, cook, lew, sofa, dimension, negative, ship, wide, cucumber, envy

υποβρύχιο, μικρός, γος, καστανός, επικίνδυνος, λανθασμένα, επηρεάζομαι, πίσω, κυρία, δοκιμάζω, θα, παρθενώνας, ανεβαίνω, καλησπέρα, μπορώ, βιβλίο, επόμενος, τίνος, πέταξα, άχρηστος, στυλός, είστε, ίδια, γεννιέμαι, εμποδίζω, ανασφάλεια, ψάχνω, χρησιμοποιώ, αεροδρόμιο, διαβάζεις, γρήγορος, κοινό, κατευθύνομαι, Νίκος, ρία, καθαριστής, αφού, όσος, όπου, πουλήσω, πολυθρόνα, πύργος, μπαταρία, ξεκίνησα, λεωφορείο, τηλέφωνο, άλλαξα, ήλιος, φορτηγό, μπολ

submarine, small, gosh, brown, dangerous, wrongly, influence, back, Lady, test, I will, Parthenon, go up, Good Evening, can, book, next, what, threw away, useless, pen, you are, itself, birth, prevent, insecurity, I am looking, I am using, airport, are you reading, fast, public, head for, Nikos, ria, cleaner, after, as, where, I sell, armchair, tower, battery, I started, bus, phone, changed, sun, truck, bowl

πραγματικά, πίνει, κτηνίατρος, τελευταίος, διευθυντής, ερωτεύομαι, αετός, πόνεσα, ραδιόφωνο, αλάτι, αμάξι, πολύς, κάπου, καθαρίζω, μπουκάλι, φίδι, σημαίνει, περάσω, μέσος, γέμισα, ανατολή, φτωχός, χορεύω, γάτες, φρούτο, κάποιο, κίτρινος, αγάπη, καφετής, τσέπη, άθλιος, αγόρια, τι, ελεύθερος, υπόσχομαι, πετάξω, ελληνικός, πληθυσμός, προσπαθώντας, ψάχνοντας, πίθηκος, παράξενος, πιπέρι, κρύο, καληνύχτα, μετά, μην, μέρος, ταβάνι, κουταλιού

really, he drinks, veterinary, last, director, falling in love, eagle, painful, radio, salt, cab, much, somewhere, wash away, bottle, snake, means, pass, average, filled, East, poor, I dance, cats, fruit, something, yellow, love, coffee maker, pocket, wretched, boys, what, free, I promise, fly, Greek, population, trying, looking for, monkey, strange, pepper, cold, Good night, after, do not, part, ceiling, spoon

ρώσικος, παρακάλεσα, έλληνας, λάμπα, λύπη, εκείνος, χαρούμενος, πάλι, καριέρα, παπάς, τουλάχιστον, σούπα, θλιμμένος, δείχνω, διακόσιοι, αυτό, αίγυπτος, φοβάμαι, αγγλία, εννέα, ζέβρα, φτιάξω, απαγορεύομαι, ηπα, αντων, ελαιόλαδο, γύρος, οποίος, τέλος, δικά, ζώο, αγρότης, μιλάς, έξι, ευκολότατος, κατσαρόλα, νωρίς, αρκετά, έχουμε, παρουσιάζομαι, ξυράφι, δράμα, εγώ, μεταξύ, αποσμητικό, κλειστός, τρίτος, χτενίζω, ος, ρο

Russian, I begged, Greek, light bulb, regret, that, cheerful, again, career, priest, at least, soup, sad, I show, two hundred, this, Egypt, Im afraid, England, nine, zebra, make, prohibit, USA, Anton, olive oil, round, Any, end, own, animal, farmer, you talk, six, convenient, pot, early, enough, we have, come up, razor blade, drama, I, between, deodorant, close, third, comb, whose, r

οποίους, έψαξα, είκοσι, πίστεψα, περιφέρεια, λάδι, έρχομαι, ανακουφίζομαι, δις, κοίταξα, πίνω, σκύλος, περισσότερος, καθαρά, εαυτός, γίνομαι, ίσως, συμπαθώ, ποιον, παπούτσια, γονιός, στέλνω, αλλάζω, άσχημα, σινεμά, γερμανικός, φούστες, ερώτηση, αγενής, κανένα, ποιος, φούστα, πουθενά, ακτή, χρώμα, χοιρινό, καλώ, ένας, χτενίζομαι, τσάι, εκδοτήριο, πεταλούδα, εξαρτώμαι, βάρος, αρχιτέκτονας, ήπειρος, πεντακόσιοι, ενενήντα, πενήντα, κομμάτι

of which, I was looking for, twenty, I believed, region, oil, I am coming, relieve, twice, I looked at, drink, dog, more, net, self, become, maybe, like, whom, shoes, parent, I send, change, bad, cinema, German, skirts, Question, rude, none, who, skirt, nowhere, coast, colour, pork, call, a, comb, tea, booking office, butterfly, depend, weight, architect, continent, five hundred, ninety, fifty, piece

πουκάμισο, μακριά, παιχνίδι, μπορέσω, καλοκαίρι, ιταλός, μάτι, είπα, φτηνός, απαντήσω, πρόσθεσα, εβδομήντα, για, βγαίνω, αυτοί, καρέκλα, γράφομαι, κόστισα, ανατρέφω, κουμπαράς, χαρακτήρας, αδύνατος, σαλάτα, μπροστά, λεπτό, ευχαριστώ, αναχώρηση, ο, πόρτα, τοστ, κλωστή, αφεντικό, αριστερός, παρακαλώ, μαγαζί, θέατρο, πέφτω, απόσταση, λατρεύω, ύψος, ομίχλη, άγχος, ομιλούμαι, εννοώ, ένιωσα, ξεκινώ, συστήνω, κίνηση, συγχωρείτε, αθήνα

shirt, away, game, I can, summer, Italian, eye, I said, cheap, answer, I added, seventy, for, go out, these, chair, write, I cost, breed, money box, character, weak, salad, in front, minute thin, thanks, departure, The, door, toast, thread, boss, left, you are welcome, shop, theater, fall, distance, I adore, height, fog, anxiety, talk, mean, I felt, start, recommend, movement, Excuse, Athena

πρωτύτερος, σημαντικός, σου, σκύλο, βοηθήσω, νοιάζει, ξάδερφος, πωλούμαι, επείγων, δώρο, πολλή, κρεμμύδι, ακριβός, κατώτερος, πίτσα, τάδε, επιτέλους, πορτοκαλής, πάπιες, υδραυλικός, γκρι, κυριακή, περιοδικό, γείτονας, γενικά, περνώ, προσέχω, κίνα, γάντι, εργασία, συμβεί, μεσημεριανό, χειρότερος, έχει, γυναίκα, όταν, γαλάζιο, θετικός, ζευγάρι, αποτυγχάνω, έξω, μας, ιστορικός, τρελός, ελληνικά, λύκος, φαίνομαι, μαύρη, σφουγγάρι, πληρώνει

earlier, significant, your, dog, help, care, cousin, sell, urgent, gift, Much, onion, expensive, inferior, pizza, these, Finally, orange, ducks, plumber, gray, Sunday, magazine, neighbor, generally, pass, look after, China, glove, work, happen, lunch, worse, hes got, woman, when, light blue, positive, pair of, fail, outside, us, historical, crazy, Greek, wolf, look, black, sponge, pays

φόρεμα, δεκαετία, φίλη, πάρω, μίσος, έκοψα, παρέδωσα, εμείς, ρώτησα, καμία, θηλαστικό, τύπος, εκατό, προσπαθώ, κολλητός, παιδιών, μήκος, τρώει, αστείος, τράπεζα, λοιπόν, κτήριο, ωραιότερος, οίκτος, κλαίω, μισή, άκουσα, κέντρο, προσ, σάββατο, χτένα, επαγγελματίας, εύθραυστος, ανίκανος, περπατήσω, ασία, αγχωμένος, προσωπικό, περπατώντας, απέτυχα, ξέρω, ελάχιστος, φυσιολογικά, νεότερος, φαρδύς, δεκαεφτά, κόκκινη, τα, αποθήκη, λαγός

dress, decade, friend, take, hatred, I cut off, I delivered, we, I asked, none, mammal, type, a hundred, try, glued, children, length, eats, funny, bank, Well, building, most beautiful, pity, Im crying, half, I heard, centre, AFT, Saturday, comb, professional, fragile, unable, walk, Asia, anxious, staff, walking, I failed, I know, minimum, normally, younger, wide, seventeen, red, the, warehouse, hare

ψάρι, σήμερα, δικές, αράχνης, ελαφρύς, τραίνο, κάποτε, νότια, Σουσάνα, νύχτα, πόσα, μαύρα, τσιγάρο, αρχαιότερος, απογοητεύομαι, χείριστος, δείξω, βαρύτερος, βενζίνη, προσέφερα, πλοήγηση, ακριβότερος, έπεσα, αμφιβάλλω, συμπαθητικός, τρώνε, κατάγομαι, τετράδιο, ει, ευρώπη, κάθομαι, κοιτώ, τρεις, αιγύπτιος, έστειλα, φορές, κερδίζω, χάρτης, εύκολος, γραβάτες, σχοινί, ειλικρινής, άδειος, μένω, διαβάζεται, πάνω, λόγω, ένα, τελικά, όνομα

fish, today, own, spider, light, train, once, southerly, Sesana, night, How many, black, cigarette, senior, frustrate, worst, show, heavier, petrol, I have offered, navigation, more expensive, I fell, I doubt, nice, they eat, I come from, notebook, in, Europe, Im sitting, look at, three, Egyptian, I sent, times, I win, Map, easy, tie, rope, sincere, empty, stay, reads, over, because of, one, after all, name

τραγουδώντας, μονοπάτι, πτήση, νικάω, ηλεκτρολόγος, κουστούμι, νίκησα, άσχημος, σύστησα, βράδυ, ανοιχτός, μήλο, άσπρος, συναίσθημα, πρόσεξα, ηλικιωμένος, ξοδεύω, γενικός, πλατεία, ρολόι, βόρειος, δεκέμβριος, θυμάμαι, συγγενής, γνωρίζω, ρούχο, συγγνώμη, αγόρασα, κινέζικος, φρέσκο, μηχανικός, ημερομηνία, καθόλου, αγορά, τότε, πυροσβέστης, έπρεπε, καλαμάκι, πρόσωπο, σνακ, πολύχρωμος, κατεβαίνω, άρεσα, τριπλός, μαθητής, σερβιτόρος, γύρω, αχλάδι, μολύβι, ανακουφίζω

singing, path, flight, win, electrician, suit, I won, ugly, I set up, night, open, apple, white, emotion, watched, elderly, I spend, general, square, clock, north, December, I remember, relative, I am aware, garment, Sorry, I bought, Chinese, fresh, engineer, date, not at all, Buy, then, firefighter, ought, straw, face, snack, colorful, climb down, liked, triple, pupil, waiter, round, pear, pencil, relieve

φωτεινός, αναγνώρισα, τραγουδώ, γενναίος, κόκκινο, ήδη, θεσσαλονίκη, οδοντόκρεμα, τιμόνι, ελληνίδα, ξένος, μέτρο, γράμμα, ευγενικός, πελεκάνος, Μαρκ, βρύση, μέσο, λαός, υπάρχων, εντάξει, σχέση, πράσινο, τρέχων, θεωρούμαι, βαρύς, ου, νέος, αυτές, άρα, κινηματογράφος, πραγματικός, κασκόλ, νεκροταφείο, διαβατήριο, ψυγείο, κατοικίδιο, τρέχω, δα, προτιμώ, συνταγή, βοήθησα, πλένω, μαύρο, βαριέμαι, αξίζω, πληρώνω, πιστεύοντας, πως, λαχανικό

illuminated, I have recognized, sing, brave, Red, already, Thessaloniki, toothpaste, steering wheel, Greek, foreign, subway, letter, polite, pelican, Mark, faucet, means, people, existing, Okay, relationship, Green, current, I am considered, heavy, th, young, they, therefore, movie theater, real, scarf, cemetery, passport, refrigerator, pet, I run, A, I prefer, recipe, I helped, wash, black, I am bored, I deserve, I pay, believing, how, vegetable

μιλάει, οθόνη, παιδιά, πληρώνεται, σύγχρονος, κουσκούς, εφημερίδα, επίσης, φίλοι, καλά, νιώθω, κοτόπουλο, ζι, βί, ταξί, σκύλου, φιλικός, στάση, ποσό, πρωί, ρωτώντας, μελετώ, αγρόκτημα, πλένομαι, φέτος, φυσικά, ενοχή, αγαπιέμαι, ασπρόμαυρος, μπανιέρα, πέρα, λείπω, σκελετός, διεθνής, αστυνομικό, χαρτί, άτομο, έβαλα, γλυκά, ισπανία, διαβάζει, χολ, εμφανίζομαι, σκόρδο, μηδέν, κάποιες, οδηγώ, εκείνον, λευκό, μυθιστόρημα

speaks, screen, children, is paid, contemporary, couscous, newspaper, also, friends, good, I feel, chicken, zi, bay, cab, dog, friendly, stand, how much, morning, asking, study, farm, wash, this year, of course, guilt, love, black and white, bathtub, beyond, miss, skeleton, international, policeman, paper, atom, put, sweet, Spain, reads, hall, appear, garlic, zero, some, Im driving, her, white, novel

ψαλίδι, πα, ζήσω, αγγίζω, μεγάλος, πίνουν, τέταρτο, επειδή, αδελφή, πέμπτη, άσπρο, όλος, ιδιωτικός, εαυτοί, ονειρεύομαι, διοικητής, τοπικός, σουπερμάρκετ, καφές, νοσταλγία, έπαιξα, υ, κουτάβι, ζεσταίνεται, γραμματέας, τελειώνω, καιρός, γλυκό, εσώρουχο, καθηγητά, μελλοντικός, καύσιμο, αφρικανός, όσο, μαχαίρι, εκείνου, καλημέρα, των, σχεδόν, περιέχω, έκανα, διάσημος, φοράω, μπλε, περήφανος, πήρα, στρίβω, απάντησα, ροζ, χορτοφάγος

pair of scissors, p, live, touch, large, They drink, quarter, because, sister, Thursday, White, all, private, selves, I dream, commander, local, Super Market, coffee, nostalgia, I played, Y, puppy, warmed up, secretary, I finish, weather, dessert, undergarment, professor, future, fuel oil, African, as much as, knife, of that, good morning, of, almost, contain, I did, famous, wear, blue, proud, I took, Turn, I replied, pink, vegetarian

λο, γερμανία, διευθυντά, έχοντας, αιώνας, ακούει, πορτοκάλι, ψύχραιμος, ακριβέστερος, γλυκός, καθάρισα, μετρό, κοντός, μικρό, εκατομμύριο, γαλάζιος, καλύτερος, γκρίζος, ήρεμος, παλιότερος, εξαιτίας, γενικώς, αλεπού, ξεκουράζομαι, κατά, έγραψα, χώρα, ημερολόγιο, τοίχος, κοκκινομάλλης, θέλοντας, άγγλος, λουκάνικο, γειτονιά, μαμά, πρώτος, κοριτσιών, γορίλας, αιτιατικής, τετάρτη, κοιτάζω, αμερικανός, αγαπώ, λίτρο, τόνος, ευρωπαίος, αυτί, όμορφος, μίλησα, αντίο

Lo, Germany, manager, having, century, listens, Orange, cool, more accurate, sweet, I cleaned, subway, short, small, million, blue, better, gray, quiescent, older, due to, generally, fox, I rest, against, I wrote, country, calendar, wall, redhead, wishing, Englishman, sausage, neighborhood, mum, first, girl, gorilla, causative, Wednesday, look, American, love, liter, tuna fish, European, ear, good looking, I have spoken, Goodbye

κουρασμένος, ροδάκινο, πονάω, δευτέρα, πορτοφόλι, πιθανώς, εμπιστεύομαι, ευκόλως, γυμναστήριο, κλειδί, αναφέρομαι, λευκή, ορίστε, εποχή, πολίτης, ανήκω, είμαστε, ίδρυμα, πράγμα, τίμιος, μοβ, ζώου, θρόνος, δεξιά, πατέρας, είμαι, πέντε, ζώ, ενδιαφέρων, υπνοδωμάτιο, αυτά, κεφτές, κότα, έντομο, ωραίος, απλούστερος, λέω, πίνεται, τελικός, ήσυχος, σεντόνι, δώσω, νονός, ίδιο, χαρά, έτοιμος, πρόσφατος, εγωιστής, ίδιος, σοφίτα

